id,name,code,is_active,created_at,updated_at
45f27adf-cd8c-490b-86f6-e7381dbeee5d,Bisley,BIS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
47308270-59ce-4c03-a884-4a2c7dbf5a0b,Diadora Utility,DIA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
488bab18-63c1-46f9-abda-6e52be7f93bc,Ariat,ARI,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4b3aeb54-88d8-4534-872a-62dbcc3a6d0f,LAPCO FR,LAP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4c919372-9a44-41bb-9871-702b025368b5,Pyramex,PYR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4d26b9f6-440d-4f27-a0bd-991166c68e43,Red Kap,RK,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4d544a08-f9a7-442f-9fa1-fc4d161e8f58,Baziz,BAZ,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4ec3d5b8-914d-4d76-ab93-99d637b37fea,Produkt Workwear,PRW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4f12131c-21d9-4d6e-83c1-88c148058901,Terra,TER,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
505e6cd5-6719-45d5-ab32-cb0e7c3f160a,3M,3M,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
507e478a-faca-465c-93e7-09623ba1c657,Caterpillar (CAT),CAT,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
50ea5c80-0058-4fae-83fc-6d9744b8b5db,SanMar,SAM,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
51889dfe-1293-4a3a-b25a-2227a21e0f3b,Stanley/Stella,SS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5310da06-6348-4823-94d4-7c1764c23b7b,SafetyShirtz,STS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
53f37b59-c479-4b95-8a1d-98c86622cb8e,Atlantis Headwear,ATH,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
53ff9787-8e59-4732-ba4e-1a8cbcdc4059,Fristads,FRI,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
544c94ff-c5b6-4c6f-8a5e-acd95beed60b,Karlowsky,KRL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
55b39823-86dd-45e2-8465-01b9e8d7d6fe,RTP Apparel,RTP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5646b5af-a973-4fca-bb4e-662a3e103e0a,Myrtle Beach,MB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5684e3ba-2842-4b83-b689-2543155b8e56,Lakeland Industries,LAK,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
594d5b05-c96d-410a-9922-d995d6140354,GSS,GSS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
59f93071-29cd-4241-b687-02bc5cce9bd0,B&C Collection,BC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5acefb35-56e1-4113-9352-d0bd1b91e565,Just Hoods,JH,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5b766f9f-5e6a-449d-a6ad-d0d9cd584459,Taylor Stitch,TYS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5b95af9f-4f39-41a1-9a38-4a12aa1027df,DuPont de Nemours,DUP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5b9b15f6-93d2-4ae6-aece-383c527b5fee,Hard Yakka,HRD,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5d934116-1777-4b77-9029-9a86a836584a,Georgia Boot,GEO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
